Number of Bedrooms,Average Household Income,Number of Records
0,18543.20754716981,53
1,40493.89312977099,131
2,62468.92864983535,911
3,90070.35657894737,3040
4,121050.53266331658,2786
5,146099.90485532125,2039
6,173306.79550561798,890
8,252456.63043478262,92
