Number of Bedrooms,Average Household Size,Number of Records
0,1.5660377358490567,53
1,1.4732824427480915,131
2,1.7925356750823271,911
3,2.463815789473684,3040
4,3.098707824838478,2786
5,3.666503187837175,2039
6,4.074157303370787,890
8,4.282608695652174,92
