Number of Bedrooms,Average Household Size,Number of Records
0,1.0956521739130434,115
1,1.250467289719626,535
2,1.9956043956043956,910
3,2.562691131498471,327
4,2.8550724637681157,69
5,4.125,8
6,3.0,3
8,1.0,6
