Number of Bedrooms,Average Household Income,Number of Records
0,19243.304347826088,115
1,36956.63551401869,535
2,53427.18681318681,910
3,62583.394495412846,327
4,60810.86956521739,69
5,172685.0,8
6,108666.66666666667,3
8,22116.666666666668,6
